iter	Passed	Remaining
0	24	97359
1	60	121099
2	90	121150
3	115	115789
4	144	115308
5	170	113712
6	200	114361
7	243	121365
8	275	121999
9	307	122655
10	340	123307
11	374	124492
12	407	125119
13	440	125437
14	474	126036
15	504	125577
16	533	125108
17	565	125188
18	596	124997
19	625	124435
20	650	123308
21	685	123994
22	714	123526
23	741	122816
24	767	121990
25	793	121231
26	820	120791
27	852	120937
28	883	121045
29	911	120686
30	942	120709
31	969	120268
32	1000	120245
33	1028	119981
34	1055	119597
35	1088	119828
36	1120	119976
37	1147	119598
38	1175	119348
39	1201	118981
40	1228	118626
41	1257	118475
42	1287	118518
43	1314	118227
44	1344	118197
45	1375	118276
46	1403	118002
47	1428	117596
48	1455	117356
49	1485	117352
50	1511	117065
51	1538	116827
52	1565	116561
53	1594	116520
54	1628	116824
55	1659	116858
56	1692	117079
57	1721	116994
58	1747	116759
59	1778	116797
60	1806	116668
61	1836	116676
62	1862	116410
63	1893	116437
64	1921	116304
65	1951	116297
66	1978	116150
67	2006	116015
68	2033	115848
69	2059	115630
70	2091	115719
71	2117	115507
72	2144	115386
73	2172	115270
74	2201	115202
75	2228	115047
76	2256	114984
77	2286	114990
78	2313	114815
79	2339	114622
80	2367	114522
81	2392	114313
82	2417	114107
83	2452	114336
84	2484	114443
85	2511	114289
86	2538	114156
87	2564	113999
88	2591	113874
89	2617	113718
90	2645	113643
91	2679	113808
92	2706	113682
93	2734	113618
94	2760	113461
95	2786	113299
96	2813	113216
97	2840	113093
98	2870	113108
99	2897	112988
100	2922	112835
101	2949	112709
102	2977	112649
103	3002	112492
104	3029	112370
105	3058	112370
106	3084	112236
107	3111	112139
108	3138	112023
109	3164	111915
110	3191	111826
111	3218	111721
112	3252	111884
113	3279	111776
114	3306	111697
115	3332	111572
116	3358	111449
117	3385	111385
118	3411	111270
119	3442	111296
120	3468	111187
121	3495	111119
122	3521	111000
123	3549	110954
124	3576	110867
125	3602	110772
126	3633	110807
127	3660	110728
128	3686	110636
129	3712	110522
130	3739	110445
131	3766	110367
132	3795	110361
133	3826	110404
134	3852	110292
135	3879	110216
136	3905	110115
137	3932	110044
138	3958	109953
139	3984	109867
140	4016	109915
141	4043	109854
142	4070	109791
143	4095	109675
144	4122	109598
145	4149	109533
146	4174	109421
147	4205	109448
148	4231	109359
149	4257	109270
150	4283	109186
151	4312	109165
152	4337	109058
153	4363	108978
154	4394	109005
155	4420	108919
156	4446	108828
157	4472	108758
158	4499	108690
159	4515	108366
160	4540	108262
161	4574	108375
162	4601	108308
163	4627	108237
164	4654	108171
165	4680	108092
166	4705	108007
167	4732	107936
168	4763	107977
169	4795	108040
170	4824	108020
171	4856	108077
172	4886	108092
173	4903	107812
174	4928	107730
175	4960	107774
176	4989	107759
177	5015	107695
178	5046	107715
179	5078	107781
180	5108	107791
